"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"1","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","John","Fijne stof om te dragen. Soepel en luchtig. Aanrader","Verified Purchase","Reviewed in Belgium on 8 September 2023","4.3 out of 5 stars"
"2","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Robert","Lekker stofje, de shirtjes zitten lekker, en de kwaliteit lijkt na een paar keer wassen ook dik in orde.","Verified Purchase","Reviewed in the Netherlands on 12 July 2023","5.0 out of 5 stars"
"3","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Ester","La talla se corresponde y el producto es de buena calidad.","Verified Purchase","Reviewed in Spain on 2 December 2023","5.0 out of 5 stars"
"4","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Nicolaas van Oosten","Giller färgen","Verified Purchase","Reviewed in Sweden on 1 October 2022","5.0 out of 5 stars"
"5","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","K","Have one in green, been washed many times and not faded. Nice design on the sides, love the beige colour, and looks good.","Verified Purchase","Reviewed in the United Kingdom on 15 January 2024","5.0 out of 5 stars"
"6","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Renzo a.","Vestibilità, asciugatura rapida senza stirare.","Verified Purchase","Reviewed in Italy on 25 July 2023","5.0 out of 5 stars"
"7","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","jeannot","pendant les grandes chaleurs","Verified Purchase","Reviewed in France on 20 July 2023","5.0 out of 5 stars"
"8","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Olgiate77","Ottimo! Buon Prodotto","Verified Purchase","Reviewed in Italy on 22 September 2022","5.0 out of 5 stars"
"9","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","DjOj","DO NOT IRON this. I did and now i can only use as old wear around the house. A big burn the shape of an iron on the back. Otherwise it was a fab fit and nice to wear.. So up to yourself.........","Verified Purchase","Reviewed in the United Kingdom on 29 August 2021","5.0 out of 5 stars"
"10","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","fabrizio","maglia che veste comoda ed è morbida davvero non la senti addosso. ottima","Verified Purchase","Reviewed in Italy on 22 December 2022","4.0 out of 5 stars"
"11","hSirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Andi E","Ingesamt ein wirklich schönes Produkt! Passt wunderbar und fällt normal aus! Schön leicht für den Sommer.","Verified Purchase","Reviewed in Germany on 28 November 2023","4.3 out of 5 stars"
"12","hSirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Eneko","bien","Verified Purchase","Reviewed in Spain on 13 September 2023","4.0 out of 5 stars"
"13","hSirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Melvyn J.","Cómodas, ligeras y fáciles de lavar y secar","Verified Purchase","Reviewed in Spain on 31 March 2023","4.0 out of 5 stars"
